Label,Resource Class
URI,https://opengeometadata.org/ogm-aardvark/#resource-class
Field Name,gbl_resourceClass_sm
Field Type,Array of strings
Obligation,Mandatory - helpful for starting a search
Multivalued,True
Purpose,To provide a top level set of categories for classifying the item.
Entry Guidelines,"Choose one or more terms from the list of [Resource Class Values](../ogm-aardvark/#resource-class-values) below."
Commentary,This field is intended to help users sort between significantly different types of resources.
Controlled Vocabulary,Yes - strict
Example Value,"[""Datasets""]"
Element Set,GBL
Group,Categories
